Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
Rm62	FBgn0003261
Tsf2	FBgn0036299
lds	FBgn0002542
Bdbt	FBgn0038857
lkb1	
CG8243	FBgn0033349
JTBR	FBgn0025820
Inx2	FBgn0027108
MFS15	FBgn0034392
CG1311	FBgn0035523
se	FBgn0086348
Sdic2	FBgn0053497
nod	FBgn0002948
Klp67A	FBgn0004379
CG7911	
jet	FBgn0031652
CG6420	FBgn0039451
Ssl1	FBgn0037202
lute	FBgn0262871
CG3226	FBgn0029882
lqfR	FBgn0261279
CG31357	FBgn0051357
Inos	FBgn0025885
Bem46	FBgn0025109
Ih	FBgn0263397
CycT	FBgn0025455
CG2911	FBgn0037350
Cyp18a1	FBgn0010383
nudC	FBgn0021768
sprt	FBgn0082585
dgt1	FBgn0039710
CG33052	FBgn0053052
pAbp	FBgn0265297
CG13551	FBgn0040660
CG6700	FBgn0032305
Rpn8	FBgn0002787
yin	FBgn0265575
Cct2	
CG33203	FBgn0053203
Spt20	FBgn0036374
Bub1	FBgn0031696
Obp19d	FBgn0011280
Dim1	FBgn0031601
CG13091	FBgn0032055
Upf3	FBgn0034923
CG16790	FBgn0037713
CG5205	
RpL4	FBgn0003279
CG2493	FBgn0032864
Cyp6a13	FBgn0033304
CG5910	FBgn0036993
Brms1	FBgn0030434
rec	FBgn0003227
CG13606	FBgn0039161
CG31248	FBgn0051248
spn-E	FBgn0003483
CG10527	FBgn0034583
PGRP-LC	FBgn0035976
CG9821	FBgn0037636
CG7510	FBgn0036741
pcx	FBgn0003048
CG4467	FBgn0039064
Lon	FBgn0036892
CG14040	
PpV	FBgn0003139
CG4749	FBgn0283525
Cam	FBgn0000253
kto	FBgn0001324
Nipped-A	FBgn0053554
bcd	FBgn0000166
CG8485	FBgn0033915
Ubpy	
HipHop	FBgn0036815
l(3)05822	FBgn0010877
nopo	FBgn0034314
TAF1C-like	FBgn0034631
CG10631	FBgn0032817
CG12868	FBgn0033945
CG5384	
tsr	FBgn0011726
lin-52	FBgn0029800
CG3348	FBgn0040609
Cdep	FBgn0265082
Zip102B	FBgn0039902
RpS15Aa	FBgn0010198
Snr1	FBgn0011715
Ppn	FBgn0003137
ASPP	FBgn0034606
CG43367	FBgn0263110
imd	FBgn0013983
CG30172	FBgn0050172
clumsy	FBgn0026255
dgt2	FBgn0032390
wls	FBgn0036141
CG13605	FBgn0039150
Poc1	FBgn0036354
CG31687	FBgn0051687
CG12746	FBgn0037341
Peb	FBgn0068103
CG8043	FBgn0037610
Amy-p	FBgn0000079
CG31259	FBgn0051259
Atet	FBgn0020762
CG40045	FBgn0058045
CG13604	FBgn0039137
CG14130	FBgn0036210
CG2938	FBgn0029685
Sec16	FBgn0052654
Alh	FBgn0261238
cbc	FBgn0033842
CG15642	FBgn0030642
CG5235	FBgn0036565
Pdk	FBgn0017558
CG11655	FBgn0030638
CG13067	FBgn0036589
toc	FBgn0015600
CSN6	FBgn0028837
Btk29A	FBgn0003502
CG9436	FBgn0033101
Uvrag	FBgn0032499
CG10960	FBgn0036316
RpL18A	FBgn0010409
fon	FBgn0032773
CG4789	FBgn0030792
alphaTub67C	FBgn0087040
GstZ1	FBgn0037696
bon	FBgn0023097
RpL19	FBgn0002607
Vha68-2	FBgn0263598
PIP5K59B	FBgn0034789
CG7841	FBgn0036502
Arfip	FBgn0037884
Hen1	FBgn0033686
Nc	
Mipp1	FBgn0026061
CG8997	FBgn0028920
CG18622	FBgn0038460
Prosalpha4	FBgn0004066
CG12179	FBgn0025388
Eogt	FBgn0264672
ecd	FBgn0000543
CG9426	FBgn0032485
CG4853	FBgn0034230
CG3552	FBgn0035999
pHCl	
RpS30	FBgn0038834
FK506-bp1	FBgn0013269
Gli	FBgn0001987
CG31961	FBgn0051961
CG8209	FBgn0035830
CG8358	FBgn0037727
g	FBgn0001087
14-3-3epsilon	FBgn0020238
kay	FBgn0001297
gdl	FBgn0001099
dikar	FBgn0261934
cpa	FBgn0034577
pst	FBgn0035770
CG15141	FBgn0032635
Plc21C	FBgn0004611
CG5854	FBgn0039130
pr	FBgn0003141
CG17239	FBgn0042186
CG3918	FBgn0029873
Ucp4A	FBgn0030872
CG8801	FBgn0028473
Dysb	FBgn0036819
Rab2	FBgn0014009
CG10621	FBgn0032726
Rsf1	FBgn0011305
CG17141	FBgn0039020
Sp212	FBgn0053329
CG9249	FBgn0032922
Sara	FBgn0026369
NimB4	FBgn0028542
CG13324	FBgn0033789
CG13001	FBgn0030806
CG5991	FBgn0026576
CRMP	FBgn0023023
CG6404	FBgn0027615
ncd	FBgn0002924
CG2263	
Arpc1	FBgn0001961
Mis12	FBgn0035725
CG17565	FBgn0038424
CG10936	FBgn0034253
Pdfr	FBgn0260753
CG9003	FBgn0033639
CG4080	FBgn0035983
CG4199	FBgn0025628
CG18596	FBgn0038953
Rim2	FBgn0031359
Pino	FBgn0016926
l(3)72Dp	FBgn0263607
CG10914	FBgn0034307
alc	FBgn0260972
Pex2	FBgn0035876
CG8500	FBgn0037754
CG30431	FBgn0050431
xmas-2	FBgn0028974
Dh44-R2	FBgn0033744
CG34236	FBgn0085265
S6kII	FBgn0262866
ArfGAP1	FBgn0020655
Drat	FBgn0033188
CG2453	FBgn0030460
Syx5	FBgn0011708
CG15209	FBgn0030237
SrpRbeta	FBgn0011509
CG2789	FBgn0031263
CG6950	FBgn0037955
Ntf-2	FBgn0031145
mi	FBgn0261786
CG5727	FBgn0032193
qkr58E-3	FBgn0022984
hng3	FBgn0035160
Rbm13	FBgn0030067
nst	FBgn0036298
mRpL42	FBgn0033480
CG14964	FBgn0035410
CG18600	FBgn0038601
CG1951	FBgn0039623
CG17726	FBgn0037880
alpha4GT1	FBgn0031491
l(2)09851	FBgn0022288
mxt	FBgn0031637
CG44838	FBgn0266101
CG5339	FBgn0034925
CG10576	FBgn0035630
Pcd	FBgn0024841
pxb	FBgn0053207
armi	FBgn0041164
Ddx1	FBgn0015075
CheA7a	FBgn0029948
Sec6	FBgn0266671
rngo	FBgn0030753
hoip	FBgn0015393
CG2023	FBgn0037383
Mi-2	FBgn0262519
ssp	FBgn0036248
Vps25	FBgn0022027
CG12316	FBgn0036483
NiPp1	FBgn0026402
CG11334	FBgn0039849
Scamp	FBgn0040285
CG5645	FBgn0036254
CG8379	FBgn0037638
CG7484	FBgn0036745
CG14805	FBgn0023514
arx	FBgn0036826
Magi	FBgn0034590
MED31	FBgn0037262
ATPCL	FBgn0020236
RpLP0-like	FBgn0033485
Tor	FBgn0021796
CG6766	FBgn0032398
SmD2	FBgn0261789
e(y)2	FBgn0000618
Mec2	FBgn0030993
CG7675	FBgn0038610
Zpr1	FBgn0030096
CG14712	FBgn0037924
Rpp30	FBgn0283652
drosha	FBgn0026722
APC7	FBgn0029879
oxt	FBgn0015360
CG8740	FBgn0027585
trn	FBgn0010452
CG1707	FBgn0283450
mRpL55	FBgn0038678
Spp	FBgn0031260
CenB1A	FBgn0039056
dnr1	FBgn0260866
RhoU	FBgn0083940
CG32536	FBgn0052536
Scsalpha	FBgn0004888
CG17840	
CG4705	
Dpck	FBgn0037469
CG8368	FBgn0035707
klu	FBgn0013469
boca	FBgn0004132
CG4627	FBgn0033808
bip2	FBgn0026262
CG12728	FBgn0029825
CG7518	FBgn0038108
Bet5	FBgn0260860
Pex3	FBgn0036484
WASp	FBgn0024273
pgant3	FBgn0027558
CG6574	FBgn0037846
Cpr62Bb	FBgn0035280
alt	FBgn0038535
px	FBgn0003175
robo	
CG31075	FBgn0051075
Txl	FBgn0035631
PhKgamma	FBgn0011754
RhoGAP5A	FBgn0029778
CG12963	FBgn0034031
Nep4	FBgn0038818
ttv	FBgn0265974
CG14463	
CG14621	FBgn0031183
CenG1A	FBgn0028509
CG1444	
CG10038	FBgn0038013
Rho1	FBgn0014020
pds5	FBgn0260012
aPKC	FBgn0261854
Hcf	FBgn0039904
foi	FBgn0024236
RpL37A	FBgn0261608
Drs	FBgn0283461
CG13323	FBgn0033788
holn1	FBgn0032250
CG17019	FBgn0033783
RpL22	FBgn0015288
Spn88Eb	FBgn0038299
MED27	FBgn0037359
Cyp6u1	FBgn0033121
Hn	FBgn0001208
dnk	FBgn0022338
slam	FBgn0043854
Git	FBgn0033539
row	FBgn0033998
CG4908	FBgn0032195
CG44085	FBgn0264894
CG4452	FBgn0035981
GstD9	FBgn0038020
CG12811	FBgn0037779
Sec63	FBgn0035771
CG9410	FBgn0033086
IM4	FBgn0040653
CG3214	FBgn0031436
CG9344	FBgn0034564
CG8386	
Sucb	FBgn0029118
CG7220	FBgn0033544
l(1)G0193	FBgn0027280
CG2187	FBgn0017448
mrt	FBgn0039507
CAHbeta	FBgn0037646
Cyp311a1	FBgn0030367
Csk	FBgn0262081
CG7084	FBgn0038938
CG14741	
metro	FBgn0050021
park	FBgn0041100
Spps	FBgn0039169
CG4751	FBgn0032348
CG11722	FBgn0037777
Rrp4	FBgn0034879
CG9951	FBgn0036671
GstD3	FBgn0010039
CG10188	FBgn0032796
wit	FBgn0024179
CG42684	FBgn0261570
Fuca	FBgn0036169
PSR	FBgn0038948
Epac	FBgn0085421
mRpL2	FBgn0036135
Snoo	FBgn0085450
CG10877	FBgn0038804
CG10077	FBgn0035720
CG32649	FBgn0052649
Gal	FBgn0001089
CG9596	FBgn0031832
janA	FBgn0001280
plu	FBgn0003114
CG18585	FBgn0031929
CG3071	FBgn0023527
CG10513	FBgn0039311
TFAM	FBgn0038805
JhI-26	FBgn0028424
CG32813	FBgn0052813
CG8519	FBgn0035711
CG4511	FBgn0037843
CG31224	FBgn0051224
Dhit	FBgn0028743
Mo25	FBgn0017572
CG42673	FBgn0261555
CG6040	FBgn0038679
CG32756	FBgn0052756
Pa1	FBgn0030294
Gel	FBgn0010225
CG2918	FBgn0023529
CG7695	FBgn0038631
CG14259	FBgn0039483
CG12393	FBgn0031768
pcs	FBgn0033988
CG14803	FBgn0023513
CG2656	FBgn0037478
Sema-1b	
ogre	FBgn0004646
Cyp6a22	FBgn0013773
dock	FBgn0010583
CG32803	FBgn0052803
etaTry	FBgn0011554
CG6179	FBgn0030915
CG9664	FBgn0031515
bond	FBgn0260942
CG13937	FBgn0035287
CG31266	FBgn0051266
CG7530	FBgn0038256
CG3290	FBgn0283480
KrT95D	FBgn0020647
Rbp1-like	FBgn0030479
CG1677	FBgn0029941
Fkbp14	FBgn0010470
CG8475	FBgn0031995
CG9990	FBgn0039594
CG6225	FBgn0038072
CG9317	
CG3262	FBgn0032986
Aats-arg	
CG16791	FBgn0038881
CG11961	FBgn0034436
CG32982	FBgn0052982
CG8152	FBgn0034008
CG5065	FBgn0034145
CG3679	FBgn0027521
alph	FBgn0086361
CG12341	FBgn0033550
Cdk4	FBgn0016131
CG7582	FBgn0039681
CG8460	FBgn0031996
CG11851	FBgn0039293
ben	FBgn0000173
yl	FBgn0004649
CG7006	FBgn0039233
ITP	FBgn0035023
Mms19	FBgn0037301
gammaCOP	FBgn0028968
Tsp29Fb	FBgn0032075
AdSL	FBgn0038467
Atg12	FBgn0036255
CG3734	FBgn0038700
CG32103	FBgn0052103
hng1	FBgn0034599
CG4089	FBgn0037838
wtrw	FBgn0260005
CG6227	FBgn0030631
CG34132	FBgn0083968
Rbp9	FBgn0010263
SMSr	FBgn0052380
l(1)G0156	FBgn0027291
poe	FBgn0011230
dx	FBgn0000524
Taf12	FBgn0011290
sav	FBgn0053193
nudE	FBgn0036059
CG14207	FBgn0031037
CG5151	FBgn0036576
Elp3	FBgn0031604
Syn	FBgn0004575
MAN1	FBgn0034962
gny	FBgn0032234
ald	
CG11771	FBgn0039252
CG33521	FBgn0250819
Ance	FBgn0012037
Npc2g	FBgn0039800
Aats-lys	
CG6310	FBgn0036121
CG7943	FBgn0039741
Cp190	FBgn0000283
CG10602	FBgn0032721
Galphaq	FBgn0004435
Ubqn	FBgn0031057
CG11899	FBgn0014427
laza	FBgn0037163
CG2990	FBgn0030170
Jon99Cii	FBgn0003356
TRAM	FBgn0040340
CG13896	FBgn0035159
CG13298	FBgn0068445
pn	FBgn0003116
e(y)3	FBgn0087008
smp-30	FBgn0038257
CG7702	FBgn0038638
abd-A	FBgn0000014
Nmda1	FBgn0013305
mip130	FBgn0023509
CG8173	FBgn0030864
loj	FBgn0061492
CG9630	FBgn0037561
CG4074	FBgn0037017
CG42450	FBgn0259927
CG6758	FBgn0034704
Rab7	FBgn0015795
CG4069	FBgn0036301
Prp31	FBgn0036487
CG5793	FBgn0038858
Phf7	FBgn0031091
CG3735	FBgn0034933
Ugt36Bc	FBgn0040260
CG15012	FBgn0035528
CG15347	FBgn0030040
Gprk2	FBgn0261988
ocm	FBgn0266083
CG16898	FBgn0034480
sm	FBgn0003435
wdn	FBgn0005642
Ubc-E2H	
alphaCOP	FBgn0025725
MFS16	FBgn0034611
CG32647	FBgn0052647
capt	FBgn0261458
Start1	FBgn0035028
CG8858	FBgn0033698
CG12006	
alpha-Est3	FBgn0015571
Unc-89	FBgn0053519
CG17270	FBgn0038828
CG11309	FBgn0037070
OstStt3	
Cortactin	FBgn0025865
CG17754	FBgn0030114
Pi4KIIalpha	FBgn0037339
FucTB	FBgn0032117
CG7718	FBgn0038649
CG34330	FBgn0085359
Eip71CD	FBgn0000565
CG1657	FBgn0030286
CG11857	FBgn0039303
CG4164	FBgn0262510
cta	FBgn0000384
CG14985	FBgn0035482
Cdc37	FBgn0011573
tgo	FBgn0264075
CG31915	FBgn0051915
Arr2	FBgn0000121
CG9603	FBgn0081892
fax	FBgn0014163
CG31313	FBgn0051313
MED6	FBgn0024330
CG4078	FBgn0029798
CG10075	FBgn0035722
CG9953	FBgn0035726
Cp1	FBgn0013770
CG15168	FBgn0032732
CG6435	FBgn0034165
Srp14	FBgn0038808
CG31683	FBgn0051683
l(3)07882	FBgn0010926
CG8032	FBgn0037606
UbcD4	
CG6745	FBgn0035901
Oda	FBgn0014184
l(2)08717	
CycC	FBgn0004597
Gnf1	FBgn0004913
MED28	FBgn0039337
Inr-a	
CG8549	FBgn0035714
CG3308	FBgn0038877
Arpc3A	FBgn0038369
trem	FBgn0038767
rod	FBgn0003268
CG4019	
Kr-h2	FBgn0266449
Tsp42Eh	FBgn0033129
Rgk3	FBgn0085426
larp	FBgn0261618
Apc	FBgn0015589
Pi3K21B	FBgn0020622
CG1738	FBgn0030291
wash	FBgn0033692
mRpL27	FBgn0053002
eIF3-S10	
CG1416	FBgn0032961
CG30291	FBgn0050291
achi	FBgn0033749
RpS5b	FBgn0038277
CG14882	FBgn0038429
CG10147	FBgn0035702
mRpL32	FBgn0039835
CG13807	FBgn0035323
CG9171	FBgn0031738
PGRP-LA	FBgn0035975
CG4768	FBgn0030790
Lsd-1	FBgn0039114
CG13255	FBgn0040636
ninaB	FBgn0002937
fwd	FBgn0004373
Pp1alpha-96A	FBgn0003134
CG3662	FBgn0031285
wkd	FBgn0037917
Rtc1	FBgn0020909
crim	FBgn0036198
CG15418	FBgn0031554
RhoGAP71E	FBgn0036518
NAT1	FBgn0010488
CG10516	FBgn0036549
eap	
clu	FBgn0034087
CG1074	FBgn0037250
sfl	FBgn0020251
CG5776	FBgn0032450
Clp	FBgn0015621
Mkrn1	FBgn0029152
Dhfr	FBgn0004087
Mes-4	
CG31249	FBgn0051249
CG15099	FBgn0034400
Syx17	FBgn0035540
BTBD9	FBgn0030228
Hf	FBgn0014000
Parg	FBgn0023216
CG8239	FBgn0030683
Tsp3A	FBgn0040334
CG17224	FBgn0031489
mal	FBgn0002641
l(2)k12914	
HDAC4	FBgn0041210
Myo31DF	FBgn0086347
CG5704	FBgn0026570
spri	FBgn0085443
CG5323	FBgn0034362
Sec24CD	FBgn0262126
CG32428	FBgn0052428
slim	FBgn0261477
CG30440	FBgn0050440
lectin-37Db	FBgn0053533
cN-IIIB	FBgn0034988
CG9338	FBgn0032899
CG11125	FBgn0033174
CG7488	FBgn0038106
Shc	FBgn0015296
BCAS2	FBgn0039558
CG7650	FBgn0036519
Nf-YC	FBgn0029905
Cbl	FBgn0020224
shi	FBgn0003392
mRpS29	FBgn0034727
RpL23A	FBgn0026372
CG3224	FBgn0029885
CG12355	FBgn0040805
CG1172	FBgn0264712
CG33493	FBgn0053493
DnaJ-1	FBgn0263106
CG6171	FBgn0026737
Tsp66E	FBgn0035936
CG15673	FBgn0034639
CG6453	
E23	FBgn0020445
Cnot4	FBgn0051716
Sbf	FBgn0025802
l(1)G0136	
Chd64	FBgn0035499
DNApol-delta	FBgn0263600
CG5554	FBgn0034914
Atg16	FBgn0039705
Eno	FBgn0000579
cher	FBgn0014141
Vps39	FBgn0038593
GABPI	FBgn0031495
ana3	FBgn0266111
CG30456	FBgn0050456
CG6808	FBgn0037921
mrj	FBgn0034091
HP1c	FBgn0039019
CG14903	FBgn0038446
CG16941	FBgn0266917
CG15922	FBgn0040575
feo	FBgn0030241
CG1896	FBgn0039870
Atg101	FBgn0030960
qua	FBgn0003187
Snx3	FBgn0038065
CG10139	FBgn0033951
CG1440	FBgn0030038
T48	FBgn0004359
alpha-Est9	FBgn0015577
Nf-YB	FBgn0032816
CG14036	FBgn0031677
Vha44	FBgn0262511
Ziz	FBgn0260486
CycA	FBgn0000404
S6k	FBgn0283472
Atpalpha	FBgn0002921
CG30381	
CG5003	FBgn0039554
CG6204	FBgn0039165
CG10219	FBgn0039112
CG32695	FBgn0052695
angel	FBgn0016762
CG13992	FBgn0031756
CG12106	FBgn0030100
grh	FBgn0259211
Dro	FBgn0010388
su(w[a])	FBgn0003638
CG7065	FBgn0030091
CYLD	FBgn0032210
CG4238	FBgn0031384
by	FBgn0000244
EfTuM	
Desat1	FBgn0086687
CG33080	FBgn0053080
CG15908	FBgn0033085
eIF3-S8	
CG17002	FBgn0033122
CG16974	FBgn0032479
p24-1	FBgn0030341
RpS9	FBgn0010408
CG4996	
Syx4	FBgn0024980
CG10098	FBgn0037472
GstO1	FBgn0035907
CG33110	FBgn0053110
CG33098	FBgn0053098
DOR	FBgn0035542
lbm	FBgn0016032
CG6707	FBgn0036058
Cyp12c1	FBgn0036806
RhoGEF3	FBgn0264707
bmm	FBgn0036449
CG11164	FBgn0030507
CG5721	FBgn0034315
CG1969	FBgn0039690
Ctf4	FBgn0033890
CG17715	FBgn0041004
CG8230	FBgn0027607
CG12333	FBgn0038617
CG5885	FBgn0025700
CG4281	FBgn0025626
CG32368	FBgn0052368
ptip	
CG12084	FBgn0043458
Tsp42Ec	FBgn0033124
CG2767	FBgn0037537
CG14969	FBgn0035440
CG16812	FBgn0032488
RpL13A	FBgn0037351
CG7565	FBgn0035833
CG12582	FBgn0037215
Fer1HCH	FBgn0015222
CG14102	FBgn0036906
vlc	FBgn0259978
RanBPM	FBgn0262114
CG4266	FBgn0034598
skpA	FBgn0067928
CG1360	FBgn0033195
B52	FBgn0004587
mu2	FBgn0002872
Srp68	FBgn0035947
CG5380	FBgn0038951
CG33129	FBgn0053129
Opbp	FBgn0050443
PHGPx	FBgn0035438
CG33158	FBgn0053158
Atu	FBgn0019637
dgo	FBgn0086898
CG9578	FBgn0031094
Hil	FBgn0050147
CG2781	FBgn0037534
CG13344	FBgn0033884
Xbp1	FBgn0021872
woc	FBgn0010328
CG5742	FBgn0034304
128up	FBgn0010339
CG8089	FBgn0033993
CG10654	FBgn0036294
CG5013	FBgn0038396
CG17597	FBgn0032715
CG1598	FBgn0033191
asrij	FBgn0034793
CG5107	FBgn0039342
CG9215	FBgn0030659
CG16857	
Mct1	FBgn0023549
Trn-SR	FBgn0031456
CG3376	FBgn0034997
chif	FBgn0000307
Fmo-2	FBgn0033079
Nxf3	FBgn0263232
CSN5	FBgn0027053
Aats-gly	
NELF-B	FBgn0027553
UBL3	FBgn0026076
CG11753	FBgn0037603
mRpL15	FBgn0036990
Synd	FBgn0053094
stc	FBgn0001978
Orct	FBgn0019952
CG5028	FBgn0039358
Pal1	FBgn0283510
hk	
CG1124	FBgn0037290
aop	FBgn0000097
CG8578	FBgn0030699
CG10470	FBgn0032746
peb	FBgn0003053
CG15765	FBgn0029814
CG32708	FBgn0052708
pit	FBgn0266581
CG12935	FBgn0033547
CG13585	FBgn0035020
Spn	FBgn0010905
CG2931	FBgn0037342
CG7137	FBgn0034422
slpr	FBgn0030018
CG13599	FBgn0039128
ine	FBgn0011603
Cyp6a23	FBgn0033978
ckn	FBgn0033987
Rb97D	FBgn0004903
CG12773	FBgn0024365
CG16712	FBgn0031561
CG1208	FBgn0037386
CG30109	FBgn0050109
CHMP2B	FBgn0035589
Sik3	FBgn0262103
CG42593	FBgn0260970
CG12547	FBgn0250830
RhoGAP1A	FBgn0025836
retm	FBgn0031814
fd68A	
CG10226	FBgn0035695
msi	FBgn0011666
CG31229	FBgn0051229
Dph5	FBgn0024558
CG1368	FBgn0030539
CG7192	
CG4159	FBgn0038811
CG14174	FBgn0036036
fs(1)K10	FBgn0000810
Orc5	FBgn0015271
Socs44A	FBgn0033266
Ts	FBgn0024920
CG10132	FBgn0032798
CG4360	FBgn0038787
GLaz	FBgn0033799
Timp	FBgn0025879
CG18542	FBgn0037731
Nak	FBgn0015772
fok	FBgn0263773
Alg-2	FBgn0086378
Adk1	FBgn0022709
spn-A	FBgn0003479
faf	FBgn0005632
CG33926	FBgn0053926
CG8001	FBgn0035268
CG11975	FBgn0037648
CG2091	FBgn0037372
TH1	FBgn0010416
CG31675	FBgn0051675
CG11504	FBgn0039733
CG12219	FBgn0043796
l(3)neo38	FBgn0265276
CG13926	FBgn0035243
Atox1	FBgn0052446
Bap60	FBgn0025463
Aac11	FBgn0027885
CG3731	FBgn0077658
Pex13	FBgn0033812
CG7888	FBgn0036116
aph-1	FBgn0031458
CG2807	FBgn0031266
CG2182	FBgn0037360
GATAd	FBgn0032223
Pngl	FBgn0033050
sced	FBgn0013732
CG9590	FBgn0038360
CG8180	FBgn0034021
Arf79F	FBgn0010348
CG10131	FBgn0033949
TotC	FBgn0044812
RpS26	FBgn0261597
CG7638	FBgn0036133
Pp4-19C	FBgn0023177
Zasp52	FBgn0265991
CG17816	FBgn0037525
CG11679	FBgn0030678
mub	FBgn0262737
CG7845	FBgn0284246
CG4822	FBgn0031220
CG4670	FBgn0033814
CG8944	FBgn0030680
Vha13	FBgn0283536
Ubx	FBgn0003944
alpha-Spec	FBgn0250789
CG30154	FBgn0050154
CG2976	
CG3841	FBgn0032131
EF2	
Ent2	FBgn0263916
Osbp	FBgn0020626
CalpB	FBgn0025866
CG32170	FBgn0052170
epsilonTry	FBgn0010425
CG5830	FBgn0036556
ERR	FBgn0035849
CG45186	FBgn0266696
atl	FBgn0039213
CG34347	FBgn0085376
CG6357	FBgn0033875
4EHP	
CG9917	FBgn0030740
Mes4	FBgn0034726
VhaM9.7-c	FBgn0028664
CG11034	FBgn0031741
Tango1	FBgn0031842
CG9318	
Syt1	FBgn0004242
CG42361	FBgn0259707
tj	FBgn0000964
CG7789	FBgn0039698
Usp12-46	FBgn0039025
Ulp1	FBgn0027603
DppIII	FBgn0037580
Ssrp	FBgn0010278
Ssk	FBgn0036945
SmD1	FBgn0261933
CG1468	FBgn0030157
Ote	FBgn0266420
CG14292	FBgn0038658
CG6752	FBgn0038296
CG32698	FBgn0052698
Rop	FBgn0004574
CycB	FBgn0000405
CG15027	FBgn0030611
PlexA	FBgn0025741
CG17593	FBgn0031544
Blos1	FBgn0050077
Ahcy13	
Srp9	FBgn0035827
lig3	FBgn0038035
egg	FBgn0086908
CG18870	FBgn0042180
pps	FBgn0082831
Vha100-1	FBgn0028671
CG5522	FBgn0034158
mam	FBgn0002643
CG2022	
CG30467	FBgn0050467
gek	FBgn0023081
LamC	FBgn0010397
MED22	FBgn0040339
RpS10b	FBgn0261593
PpD3	FBgn0005777
CG5828	FBgn0031682
CG9427	FBgn0037721
mthl14	FBgn0052476
CG2736	FBgn0035090
CG9986	FBgn0039589
bigmax	FBgn0039509
PGRP-LE	FBgn0030695
CG4291	FBgn0031287
Ef1alpha48D	
140up	FBgn0010340
CG15611	FBgn0034194
Rab39	FBgn0029959
Nuf2	FBgn0031886
ck	FBgn0000317
CG8257	
ftz-f1	FBgn0001078
blp	FBgn0038387
Nipped-B	FBgn0026401
CG10543	FBgn0034570
PIG-C	FBgn0035435
CG31681	FBgn0051681
CG8235	
ApepP	FBgn0026150
ca	FBgn0000247
CG9747	FBgn0039754
CG17190	FBgn0038761
CG5611	FBgn0039531
Cp18	FBgn0000357
CG10307	FBgn0034655
CG11808	FBgn0034000
Vha26	FBgn0283535
r2d2	FBgn0031951
PebIII	FBgn0068102
CG14671	FBgn0037340
CG13004	FBgn0030797
CG9586	FBgn0032101
CG18789	FBgn0042127
CG8398	FBgn0035708
Oatp33Eb	FBgn0032435
Spn47C	FBgn0033574
RpS20	FBgn0019936
AP-1mu	FBgn0024833
CG8223	FBgn0037624
CG6340	FBgn0030648
Madm	FBgn0027497
CG13868	FBgn0034501
CG3764	FBgn0036684
Aats-asn	
Mlc1	FBgn0002772
homer	FBgn0025777
CG32638	FBgn0052638
CG8507	FBgn0037756
nAChRbeta1	FBgn0000038
CG1667	FBgn0033453
CG31103	FBgn0051103
flfl	FBgn0024555
blow	FBgn0004133
CG17337	FBgn0259979
neb	FBgn0004374
Hr46	
CG8441	FBgn0034086
CG3209	FBgn0034971
CG33774	FBgn0053774
sty	FBgn0014388
CG1024	FBgn0027514
AdenoK	FBgn0036337
vig	FBgn0024183
Hel25E	FBgn0014189
CG32856	FBgn0052856
CG13283	FBgn0032613
l(2)k05819	FBgn0022153
Dsor1	FBgn0010269
IntS11	FBgn0039691
CG3038	FBgn0040373
TfIIFbeta	FBgn0010421
eas	FBgn0000536
CG16700	FBgn0030816
CG4880	FBgn0030803
Coprox	FBgn0021944
lin	FBgn0002552
CG43897	FBgn0264489
CG2059	FBgn0029942
CG16799	FBgn0034538
CG7239	FBgn0031740
dbe	FBgn0020305
cp309	
CG32857	FBgn0052857
app	FBgn0260941
CG13151	FBgn0033750
Cyp12a4	FBgn0038681
CG1572	FBgn0030309
CG9458	FBgn0037765
Cyp305a1	FBgn0036910
Taf11	FBgn0011291
ial	
CG9029	FBgn0031746
Ada1-2	FBgn0051866
bowl	FBgn0004893
Past1	FBgn0016693
MrgBP	FBgn0033341
CG42397	FBgn0259748
CG14194	FBgn0030996
RagC-D	FBgn0033272
Buffy	FBgn0040491
Amy-d	FBgn0000078
Rgl	FBgn0026376
CG3192	FBgn0076580
CG10418	FBgn0036277
CG34015	FBgn0054015
CG7384	FBgn0032262
Rab3-GAP	FBgn0027505
CG10031	FBgn0031563
Der-1	FBgn0267972
CG7158	
ash1	FBgn0005386
CG11920	FBgn0039274
Syx16	FBgn0031106
blue	
CG14818	FBgn0026088
CG9205	FBgn0035181
GstT2	FBgn0050005
CG11180	FBgn0034528
Tim17b	FBgn0263977
CG5335	FBgn0034365
Pax	FBgn0041789
snf	FBgn0003449
vig2	FBgn0046214
CG1371	FBgn0033482
Dsp1	FBgn0278608
CG3630	FBgn0023540
Bap170	FBgn0042085
Mppe	FBgn0259985
CG8237	FBgn0033350
CG1622	FBgn0030468
l(2)01289	FBgn0010482
CG17294	FBgn0032032
wat	FBgn0039620
Mulk	FBgn0260750
Kap-alpha1	FBgn0024889
CG11266	
CG32085	FBgn0052085
CG3303	FBgn0038381
CG11076	FBgn0039929
mmy	FBgn0259749
Cog7	FBgn0051040
CG7655	FBgn0038536
miple2	FBgn0029002
hgo	FBgn0040211
CG8051	FBgn0031012
blot	FBgn0027660
CG3558	FBgn0025681
CG17244	FBgn0039031
CG31301	FBgn0051301
CG7979	FBgn0035848
CG6664	FBgn0036685
Tomosyn	FBgn0030412
Fis1	FBgn0039969
Tango10	FBgn0030330
endos	FBgn0061515
VhaM9.7-b	FBgn0028663
